width,offset
100,1032000
80,1039000
90,1032000
150,1029000
100,1029000
120,1029000
160,1028000
90,1028000
100,1030000
50,1030000
100,1033000
110,1029000
100,1029000
110,1030000
50,1030000
100,1029000
170,1031000
120,1032000
170,1032000
120,1032000
140,1033000
110,1033000
110,1034000
140,1033000
210,1033000
120,1032000
120,1033000
80,1038000
50,1038000
100,1038000
110,1037000
210,1038000
80,1031000
190,1032000
110,1036000
110,1031000
110,1032000
90,1034000
50,1032000
220,1029000
80,1029000
100,1029000
100,1029000
190,1031000
210,1034000
250,1032000
180,1032000
90,1033000
90,1032000
50,1031000
150,1033000
90,1032000
100,1032000
170,1033000
170,1034000
80,1039000
170,1037000
200,1040000
80,1038000
90,1040000
80,1041000
110,1043000
100,1043000
100,1043000
90,1044000
100,1039000
160,1045000
100,1045000
90,1042000
190,1071000
200,1052000
220,1043000
50,1041000
100,1046000
220,1040000
170,1040000
100,1048000
170,1043000
240,1044000
140,1049000
120,1043000
180,1041000
90,1039000
50,1038000
110,1040000
100,1044000
240,1041000
100,1038000
60,1037000
120,1039000
110,1039000
210,1039000
120,1038000
110,1039000
100,1042000
110,1038000
100,1042000
120,1038000
90,1040000
240,1039000
100,1039000
110,1036000
100,1039000
60,1036000
180,1039000
140,1031000
100,1041000
250,1040000
200,1040000
80,1043000
50,1042000
90,1046000
110,1037000
100,1038000
80,1038000
230,1040000
160,1041000
220,1042000
160,1038000
240,1041000
100,1037000
160,1038000
120,1039000
120,1040000
110,1039000
100,1039000
220,1040000
100,1043000
90,1042000
100,1044000
120,1039000
110,1039000
50,1040000
90,1045000
120,1042000
60,1037000
110,1037000
190,1037000
80,1039000
170,1044000
230,1036000
220,1043000
230,1044000
90,1039000
110,1040000
90,1038000
100,1038000
100,1041000
110,1040000
210,1036000
90,1041000
110,1041000
240,1036000
180,1035000
200,1035000
90,1037000
70,1037000
240,1036000
150,1035000
190,1035000
140,1040000
110,1036000
60,1037000
220,1035000
90,1035000
160,1039000
180,1034000
210,1035000
220,1036000
90,1042000
210,1037000
190,1034000
220,1035000
230,1034000
220,1035000
110,1035000
80,1034000
120,1034000
80,1034000
90,1033000
110,1035000
150,1033000
150,1034000
110,1036000
100,1041000
220,1038000
110,1036000
170,1036000
200,1036000
90,1033000
60,1034000
240,1034000
110,1036000
80,1034000
240,1035000
240,1034000
100,1038000
60,1039000
170,1033000
50,1033000
80,1037000
120,1036000
110,1034000
160,1039000
210,1032000
160,1036000
80,1037000
100,1033000
100,1037000
120,1032000
110,1033000
150,1032000
70,1036000
120,1037000
250,1035000
120,1033000
230,1038000
180,1035000
100,1036000
170,1031000
120,1036000
100,1033000
100,1030000
180,1031000
120,1033000
230,1036000
100,1036000
180,1032000
100,1031000
190,1034000
100,1032000
170,1031000
80,1039000
60,1033000
100,1037000
100,1036000
80,1039000
110,1036000
80,1037000
160,1031000
210,1033000
100,1032000
70,1044000
120,1035000
110,1030000
80,1030000
180,1031000
180,1028000
240,1035000
80,1032000
160,1031000
80,1031000
170,1034000
160,1034000
120,1033000
80,1034000
90,1033000
210,1034000
90,1033000
60,1034000
90,1033000
120,1038000
120,1032000
240,1034000
160,1034000
90,1033000
210,1033000
110,1037000
80,1033000
60,1034000
150,1033000
220,1032000
90,1034000
120,1033000
120,1031000
60,1031000
170,1032000
70,1031000
190,1030000
200,1033000
110,1030000
100,1030000
100,1030000
90,1035000
110,1030000
110,1032000
110,1032000
110,1033000
100,1032000
190,1037000
250,1032000
90,1030000
120,1032000
110,1030000
60,1031000
230,1030000
200,1030000
150,1034000
240,1030000
120,1031000
190,1034000
90,1032000
70,1028000
170,1030000
110,1030000
90,1035000
160,1033000
100,1033000
250,1032000
230,1034000
80,1037000
60,1035000
160,1037000
110,1037000
90,1041000
230,1041000
110,1039000
190,1038000
240,1036000
70,1035000
150,1036000
210,1036000
90,1043000
110,1040000
90,1041000
60,1030000
110,1042000
160,1038000
90,1039000
100,1040000
100,1045000
70,1048000
210,1040000
250,1044000
210,1043000
100,1042000
120,1042000
170,1046000
70,1046000
80,1042000
80,1042000
90,1047000
190,1042000
90,1049000
80,1048000
100,1041000
60,1040000
100,1045000
110,1045000
110,1041000
100,1045000
70,1031000
160,1039000
110,1040000
150,1040000
160,1040000
210,1039000
180,1040000
90,1045000
110,1040000
200,1040000
100,1039000
180,1041000
110,1042000
90,1044000
80,1043000
90,1038000
100,1041000
70,1040000
170,1039000
120,1040000
60,1043000
110,1044000
80,1044000
110,1037000
120,1042000
150,1038000
240,1037000
80,1038000
100,1041000
60,1042000
140,1037000
190,1039000
150,1036000
100,1040000
70,1035000
150,1038000
140,1038000
200,1044000
250,1040000
120,1035000
120,1035000
230,1041000
160,1040000
150,1039000
70,1040000
90,1042000
100,1040000
120,1036000
50,1035000
80,1037000
